Overall rank_2019,Country or region,Score_2019,Rank_2018,Score_2018,Rank_2017,Score_2017, Rank_2016,Score_2016,2020.Rank,2020_Score,Rank_2022,Score_2022,2021. score,2021.Rank
148,Botswana,3.488,146,3.59,142,3.766,137,3.974,147,3.479,143,3.467,3.467,146
154,Afghanistan,3.203,145,3.632,141,3.794,154,3.36,153,2.567,146,2.523,2.523,149
144,Lesotho,3.802,141,3.808,139,3.808,,,143,3.653,142,3.512,3.512,145
149,Syria,3.462,150,3.462,152,3.462,156,3.069,,,,,,
156,South Sudan,2.853,154,3.254,147,3.591,143,3.832,152,2.817,,,,
152,Rwanda,3.334,151,3.408,151,3.471,152,3.515,150,3.312,144,3.415,3.415,147
153,Tanzania,3.231,153,3.303,153,3.349,149,3.666,148,3.476,139,3.623,3.623,142
155,Central African Republic,3.083,155,3.083,155,2.693,,,149,3.476,,,,
39,Trinidad & Tobago,6.192,38,6.192,,,,,,,,,,
19,United States of America,6.892,,,,,,,,,,,,
120,Gambia,4.516,,,,,,,113,4.751,96,5.051,5.051,98
135,Eswatini,4.212,,,,,,,132,4.308,127,4.308,,
